app_temp,clouds,clouds_hi,clouds_low,clouds_mid,datetime,dewpt,dhi,dni,ghi,ozone,pod,pop,precip,pres,rh,slp,snow,snow_depth,solar_rad,temp,timestamp_local,timestamp_utc,ts,uv,vis,weather.description,weather.code,weather.icon,wind_cdir,wind_cdir_full,wind_dir,wind_gust_spd,wind_spd
4.9,80,6,100,100,2024-04-09:01,0.8,0.0,0.0,0.0,355.0,n,0,0.0,1019.5,64,1019.6,0,0,0.0,7.1,2024-04-08T21:00:00,2024-04-09T01:00:00,1712624400,0.0,30.592,Overcast clouds,804,c04n,SSW,south-southwest,200,4.4,3.2
11.1,81,0,100,100,2024-04-09:02,5.0,0.0,0.0,0.0,354.0,n,0,0.0,1018.5,66,1018.6,0,0,0.0,11.1,2024-04-08T22:00:00,2024-04-09T02:00:00,1712628000,0.0,28.096,Overcast clouds,804,c04n,SSW,south-southwest,210,3.6,2.4
10.7,71,99,0,2,2024-04-09:03,4.8,0.0,0.0,0.0,355.0,n,0,0.0,1018.0,67,1018.1,0,0,0.0,10.7,2024-04-08T23:00:00,2024-04-09T03:00:00,1712631600,0.0,22.592,Overcast clouds,804,c04n,SW,southwest,220,3.6,2.4
10.7,76,2,3,54,2024-04-09:04,5.3,0.0,0.0,0.0,357.8,n,0,0.0,1017.5,69,1017.6,0,0,0.0,10.7,2024-04-09T00:00:00,2024-04-09T04:00:00,1712635200,0.0,17.792,Overcast clouds,804,c04n,SW,southwest,220,3.6,2.4
10.4,79,0,20,15,2024-04-09:05,5.2,0.0,0.0,0.0,359.5,n,0,0.0,1017.5,70,1017.6,0,0,0.0,10.4,2024-04-09T01:00:00,2024-04-09T05:00:00,1712638800,0.0,16.096,Overcast clouds,804,c04n,SW,southwest,230,3.2,2.0
10.0,73,0,41,4,2024-04-09:06,5.2,0.0,0.0,0.0,362.8,n,0,0.0,1018.0,72,1018.1,0,0,0.0,10.0,2024-04-09T02:00:00,2024-04-09T06:00:00,1712642400,0.0,16.0,Overcast clouds,804,c04n,SW,southwest,230,3.2,2.0
10.0,61,0,39,2,2024-04-09:07,5.4,0.0,0.0,0.0,364.8,n,0,0.0,1018.0,73,1018.1,0,0,0.0,10.0,2024-04-09T03:00:00,2024-04-09T07:00:00,1712646000,0.0,15.0,Broken clouds,803,c03n,SW,southwest,220,2.8,2.0
9.8,55,0,43,2,2024-04-09:08,5.8,0.0,0.0,0.0,368.0,n,0,0.0,1017.5,76,1017.6,0,0,0.0,9.8,2024-04-09T04:00:00,2024-04-09T08:00:00,1712649600,0.0,14.6,Broken clouds,803,c03n,SSW,south-southwest,210,2.4,1.6
9.3,29,0,11,0,2024-04-09:09,5.5,0.0,0.0,0.0,365.8,n,0,0.0,1017.0,77,1017.1,0,0,0.0,9.3,2024-04-09T05:00:00,2024-04-09T09:00:00,1712653200,0.0,15.496,Scattered clouds,802,c02n,SSW,south-southwest,210,2.8,1.6
9.1,18,1,8,0,2024-04-09:10,5.5,0.0,0.0,0.0,366.0,n,0,0.0,1017.0,78,1017.1,0,0,0.0,9.1,2024-04-09T06:00:00,2024-04-09T10:00:00,1712656800,0.0,14.496,Few clouds,801,c02n,SW,southwest,220,2.0,1.6
9.2,35,100,13,0,2024-04-09:11,5.5,37.66,325.76,61.03,363.5,d,0,0.0,1017.5,78,1017.6,0,0,60.53707,9.2,2024-04-09T07:00:00,2024-04-09T11:00:00,1712660400,1.0,13.296,Scattered clouds,802,c02d,WSW,west-southwest,240,1.6,1.2
10.0,44,1,7,0,2024-04-09:12,5.8,71.12,625.98,248.23,366.5,d,0,0.0,1017.5,75,1017.6,0,0,248.20355,10.0,2024-04-09T08:00:00,2024-04-09T12:00:00,1712664000,1.2,14.296,Broken clouds,803,c03d,W,west,280,1.2,0.8
